week,indicator,mean_share,ci_lo,ci_hi
6,Frequency,0.37294428942528535,0.37294428942528535,0.37294428942528535
6,Immediacy,0.23942509355926261,0.23942509355926261,0.23942509355926261
6,Diversity,0.3876306170154521,0.3876306170154521,0.3876306170154521
11,Frequency,0.2679461816975969,0.2679461816975969,0.2679461816975969
11,Immediacy,0.35733566429057684,0.35733566429057684,0.35733566429057684
11,Diversity,0.37471815401182634,0.37471815401182634,0.37471815401182634
