term,tau,estimate,std.error,p.value,cohort_id,week,condition,module,indicator,lo,hi
z_cum_freq,0.1,1.8852943658224022,2.66338418546636,0.479522062562715,STAT0002_2021,6,online,STAT0002,Frequency,-3.3349386376916628,7.105527369336468
z_cum_imm,0.1,3.030083607559575,2.921271105766703,0.3003616067559902,STAT0002_2021,6,online,STAT0002,Immediacy,-2.695607759743163,8.755774974862312
z_cum_div,0.1,-0.05268939627458952,2.773733190201914,0.9848556310281755,STAT0002_2021,6,online,STAT0002,Diversity,-5.48920644907034,5.383827656521162
z_cum_freq,0.25,1.1032885725528672,2.035494631339154,0.5881585648811001,STAT0002_2021,6,online,STAT0002,Frequency,-2.8862809048718754,5.092858049977609
z_cum_imm,0.25,-0.04308815501295177,2.1459307650523125,0.9839921958230073,STAT0002_2021,6,online,STAT0002,Immediacy,-4.249112454515484,4.1629361444895805
z_cum_div,0.25,2.9041854231060995,1.9947447397183544,0.14634340183963124,STAT0002_2021,6,online,STAT0002,Diversity,-1.005514266741875,6.813885112954074
z_cum_freq,0.5,2.1313271935867624,1.5339779507950606,0.16562211918505265,STAT0002_2021,6,online,STAT0002,Frequency,-0.8752695899715563,5.137923977145081
z_cum_imm,0.5,-0.38111528164039854,1.4225424855369297,0.7889309738120978,STAT0002_2021,6,online,STAT0002,Immediacy,-3.169298553292781,2.407067990011984
z_cum_div,0.5,1.7237659705774733,1.6215901677099083,0.2885364577101055,STAT0002_2021,6,online,STAT0002,Diversity,-1.454550758133947,4.9020826992888935
z_cum_freq,0.75,2.059299140675514,1.3514247779176547,0.12849409577943938,STAT0002_2021,6,online,STAT0002,Frequency,-0.5894934240430891,4.708091705394118
z_cum_imm,0.75,0.8756138180175064,1.3800281497828013,0.5261904144820599,STAT0002_2021,6,online,STAT0002,Immediacy,-1.8292413555567844,3.580468991591797
z_cum_div,0.75,1.828559316194789,1.5492059705945003,0.23870281374957636,STAT0002_2021,6,online,STAT0002,Diversity,-1.2078843861704314,4.865003018560009
z_cum_freq,0.9,1.795744461103011,1.467890550357122,0.22204957501954214,STAT0002_2021,6,online,STAT0002,Frequency,-1.0813210175969483,4.6728099398029705
z_cum_imm,0.9,-0.3675589246132105,1.6351313812865087,0.8222795538184682,STAT0002_2021,6,online,STAT0002,Immediacy,-3.5724164319347675,2.837298582708346
z_cum_div,0.9,0.9226733552047848,1.8856809675148485,0.6249430721474054,STAT0002_2021,6,online,STAT0002,Diversity,-2.7732613411243183,4.618608051533888
z_cum_freq,0.1,1.84827187727494,2.532470111280502,0.46599978380292684,STAT0002_2021,11,online,STAT0002,Frequency,-3.115369540834844,6.811913295384724
z_cum_imm,0.1,3.7210015508291168,4.388935650403666,0.39714146304915476,STAT0002_2021,11,online,STAT0002,Immediacy,-4.881312323962069,12.323315425620303
z_cum_div,0.1,0.5338298802154109,3.0225048740382374,0.859913944189961,STAT0002_2021,11,online,STAT0002,Diversity,-5.390279672899535,6.457939433330356
z_cum_freq,0.25,0.08674748028768647,2.1931394523339454,0.9684720384015799,STAT0002_2021,11,online,STAT0002,Frequency,-4.211805846286846,4.38530080686222
z_cum_imm,0.25,2.032520874408144,2.1406646370448734,0.343054306134706,STAT0002_2021,11,online,STAT0002,Immediacy,-2.163181814199808,6.228223563016096
z_cum_div,0.25,2.5016915136999556,2.2004045840698643,0.2563756690134027,STAT0002_2021,11,online,STAT0002,Diversity,-1.8111014710769782,6.814484498476889
