cohort_id,week,p,rho,indicator,p_BH
STAT0002_2021,1,6.694460280145381e-6,0.24079340546665534,Frequency,1.6364236240355377e-5
STAT0002_2021,2,4.590145971129724e-6,0.24491641639532902,Frequency,1.147536492782431e-5
STAT0002_2021,3,2.482595277881804e-7,0.27459214001782695,Frequency,9.416740709206843e-7
STAT0002_2021,4,4.326822089764212e-8,0.29080041738745954,Frequency,2.163411044882106e-7
STAT0002_2021,5,2.3656943900401285e-7,0.2750538279793266,Frequency,9.293799389443362e-7
STAT0002_2021,6,4.204419582258553e-7,0.26949287298106867,Frequency,1.388688874861158e-6
STAT0002_2021,7,5.366535975912193e-7,0.26709473551243434,Frequency,1.7110694415951919e-6
STAT0002_2021,8,9.828066813062055e-7,0.2610461432293046,Frequency,2.8145010971619823e-6
STAT0002_2021,9,6.887246534984185e-7,0.26461875007368363,Frequency,2.1060793740813782e-6
STAT0002_2021,10,4.4768309026177986e-7,0.26887818900893556,Frequency,1.4483864684939937e-6
STAT0002_2021,11,2.549441920936225e-7,0.274337446658949,Frequency,9.506393603491008e-7
STAT0002_2223,1,7.319507493882266e-6,0.2705612192116817,Frequency,1.769551262257251e-5
STAT0002_2223,2,2.2633354365492197e-9,0.35547796996729475,Frequency,2.3681186640635455e-8
STAT0002_2223,3,4.602243452284876e-9,0.3489818071146777,Frequency,3.891995642630645e-8
STAT0002_2223,4,8.005372233482993e-9,0.3438101739282198,Frequency,5.503693410519558e-8
STAT0002_2223,5,3.994682392064497e-9,0.3502895597868541,Frequency,3.661792192725788e-8
STAT0002_2223,6,2.3681186640635456e-9,0.3550680882781092,Frequency,2.3681186640635455e-8
STAT0002_2223,7,8.576032572141582e-10,0.3641299233950767,Frequency,9.9301429782692e-9
STAT0002_2223,8,2.6586677107719023e-10,0.3742389431316068,Frequency,4.177906402641561e-9
STAT0002_2223,9,9.0612978535351e-11,0.3832320587280853,Frequency,1.5334504059828632e-9
STAT0002_2223,10,8.991785411988223e-11,0.38329541938688483,Frequency,1.5334504059828632e-9
STAT0002_2223,11,8.227309036929691e-11,0.3840254854852915,Frequency,1.5334504059828632e-9
STAT0004_2021,1,4.36691868387277e-4,0.1979239555959237,Frequency,7.624778654381027e-4
STAT0004_2021,2,2.7639325482650815e-5,0.23494322210514987,Frequency,5.903545248721533e-5
STAT0004_2021,3,2.355085306426857e-6,0.2635522043179344,Frequency,6.242394788119381e-6
STAT0004_2021,4,2.4193268620054626e-6,0.2632572635341475,Frequency,6.336332257633355e-6
STAT0004_2021,5,6.694324714917096e-7,0.2769608385910844,Frequency,2.10393062468823e-6
STAT0004_2021,6,3.5103546530219526e-6,0.2591410627713282,Frequency,8.87675889269919e-6
STAT0004_2021,7,1.0071376146995733e-5,0.2470909354152584,Frequency,2.382476077783937e-5
STAT0004_2021,8,1.6652086516970474e-5,0.24111945625263512,Frequency,3.700463670437883e-5
STAT0004_2021,9,8.496252503592884e-6,0.2490768959582677,Frequency,2.031712555206994e-5
STAT0004_2021,10,2.2079897066393134e-6,0.2642575816596346,Frequency,5.997009079761098e-6
STAT0004_2021,11,1.24019117340702e-5,0.24463738034927424,Frequency,2.8689741319717163e-5
STAT0004_2122,1,0.004009142127541917,0.21834146272477414,Frequency,0.005653918384995012
STAT0004_2122,2,0.0048774812941708955,0.21371572840391914,Frequency,0.006680242724311094
STAT0004_2122,3,0.009374094293284924,0.19758714764994614,Frequency,0.011457226358459352
STAT0004_2122,4,0.007211841287434853,0.20419992822384356,Frequency,0.009171127648761084
STAT0004_2122,5,0.003269630082157719,0.22305698066607388,Frequency,0.004640765277901279
STAT0004_2122,6,0.0047681727289275826,0.2142552651313218,Frequency,0.006597471700402944
STAT0004_2122,7,0.003211454138828314,0.22346767613887844,Frequency,0.004587791626897592
STAT0004_2122,8,0.0016950508262623726,0.23764368076517242,Frequency,0.0027419939836597204
STAT0004_2122,9,0.0026805166780153734,0.227562520880783,Frequency,0.003944035923550035
STAT0004_2122,10,0.0013398928931039954,0.24265776289753505,Frequency,0.002216364184081797
STAT0004_2122,11,0.004266274705677988,0.21688470354973938,Frequency,0.00597821933279718
STAT0004_2223,1,0.5075032565297211,0.04749316551988664,Frequency,0.5098206229978933
STAT0004_2223,2,0.13056866503638145,0.10808781818162996,Frequency,0.13360514561862288
STAT0004_2223,3,0.014226423691659553,0.17443068732962683,Frequency,0.017102804438060663
STAT0004_2223,4,0.012474579547608947,0.17771723307994716,Frequency,0.01507916209051631
STAT0004_2223,5,0.007106855820178135,0.1912263126085527,Frequency,0.00909016442115808
STAT0004_2223,6,0.018167231713388046,0.1681690131093554,Frequency,0.021035741983923002
STAT0004_2223,7,0.022954582772910903,0.16198853611707592,Frequency,0.025124418955424867
STAT0004_2223,8,0.01880825074559291,0.16726489761791336,Frequency,0.021489569189838503
STAT0004_2223,9,0.02368588501897055,0.16114478872217924,Frequency,0.025669432040263652
STAT0004_2223,10,0.019904050275364914,0.16577949097815003,Frequency,0.02222787340396082
STAT0004_2223,11,0.020358229261595674,0.1651845311896605,Frequency,0.022620254735106305
STAT0002_2021,1,0.5736420645243653,0.030531788892487047,Immediacy,0.5736420645243653
STAT0002_2021,2,0.017565305391813,0.1283450991792274,Immediacy,0.020555144607440744
STAT0002_2021,3,0.0010163726925356501,0.1769280580547653,Immediacy,0.0017068854378461298
STAT0002_2021,4,5.248615557606212e-5,0.2168748170200967,Immediacy,1.0402661465525826e-4
STAT0002_2021,5,1.7314858839878562e-4,0.20170965087569703,Immediacy,3.201066340145617e-4
STAT0002_2021,6,6.794377804830628e-5,0.21368550318291146,Immediacy,0.00013111957167217001
STAT0002_2021,7,1.0465194847617767e-4,0.208239920093101,Immediacy,1.9847783331688868e-4
STAT0002_2021,8,1.3922623405812135e-4,0.20456273137473743,Immediacy,2.59574334684633e-4
STAT0002_2021,9,1.0079926075967836e-4,0.20871835767481164,Immediacy,1.9283336840981947e-4
STAT0002_2021,10,4.5511923129248585e-5,0.21861644958234913,Immediacy,9.1858927416832e-5
STAT0002_2021,11,1.6457730385260517e-5,0.23065723561919868,Immediacy,3.694592535466647e-5
STAT0002_2223,1,0.002110874193737557,0.18734669368356408,Immediacy,0.003293562571789096
STAT0002_2223,2,0.00021500034788158259,0.22463230406648538,Immediacy,3.909097234210592e-4
STAT0002_2223,3,3.573022824517241e-5,0.2501067475742257,Immediacy,7.415707748998047e-5
STAT0002_2223,4,3.0384736748777404e-4,0.21938108705981016,Immediacy,5.479214823550023e-4
STAT0002_2223,5,1.0543151316154746e-5,0.26600059105156315,Immediacy,2.4675460527170682e-5
STAT0002_2223,6,1.6487137614074885e-6,0.2883830893212055,Immediacy,4.591354778603133e-6
STAT0002_2223,7,1.6544374982787055e-7,0.31369483899064027,Immediacy,7.428086726965616e-7
STAT0002_2223,8,5.604741135121247e-9,0.34715147342690655,Immediacy,4.403725177595266e-8
STAT0002_2223,9,5.754028902902323e-10,0.3676141291747352,Immediacy,7.446390344932418e-9
STAT0002_2223,10,3.1310414556071047e-10,0.3728481609095989,Immediacy,4.59219413489042e-9
STAT0002_2223,11,6.775688706106603e-11,0.38561423036265313,Immediacy,1.5334504059828632e-9
STAT0004_2021,1,6.114904014516754e-4,0.1929341398985285,Immediacy,0.0010592747111761306
STAT0004_2021,2,0.001426792223625882,0.17979958153971543,Immediacy,0.0023424946955051796
STAT0004_2021,3,9.913092043573758e-4,0.1855516406512468,Immediacy,0.001677600191989405
STAT0004_2021,4,2.0928360077087518e-4,0.20842487849795574,Immediacy,3.836866014132711e-4
STAT0004_2021,5,2.855102288876781e-5,0.23454195614776077,Immediacy,6.0396394572393444e-5
STAT0004_2021,6,1.696360265086958e-5,0.24089641338256532,Immediacy,3.731992583191308e-5
