term,tau,estimate,std.error,p.value,cohort_id,week,condition,module,lo,hi
z_cum_IDF,0.1,4.063919780974682,1.6246653830750057,0.012840358141510189,STAT0002_2021,6,online,STAT0002,0.8795756301476705,7.248263931801693
z_cum_IDF,0.25,4.492310388281367,1.3827385218083945,0.0012743809715063392,STAT0002_2021,6,online,STAT0002,1.7821428855369135,7.20247789102582
z_cum_IDF,0.5,3.3761722541854366,0.9231102100504412,2.951633055667813e-4,STAT0002_2021,6,online,STAT0002,1.5668762424865719,5.185468265884301
z_cum_IDF,0.75,4.007237594357852,0.7144122607936058,4.217365523473404e-8,STAT0002_2021,6,online,STAT0002,2.6069895632023847,5.407485625513319
z_cum_IDF,0.9,2.345496011481727,0.9608823968764729,0.015157096861100339,STAT0002_2021,6,online,STAT0002,0.46216651360384,4.228825509359614
z_cum_IDF,0.1,5.321806201271206,1.6809828323543665,0.0016859138777751692,STAT0002_2021,11,online,STAT0002,2.0270798498566482,8.616532552685765
z_cum_IDF,0.25,4.207090936309222,1.0805306413653555,1.1892174771999109e-4,STAT0002_2021,11,online,STAT0002,2.0892508792331252,6.324930993385319
z_cum_IDF,0.5,3.2155258461309253,1.2657977151993018,0.011519594923119714,STAT0002_2021,11,online,STAT0002,0.7345623243402937,5.696489367921557
z_cum_IDF,0.75,4.03759369773691,0.7867476775905025,4.830998538984943e-7,STAT0002_2021,11,online,STAT0002,2.4955682496595255,5.579619145814295
z_cum_IDF,0.9,2.5792503031670706,1.1961502575300977,0.03176166804327085,STAT0002_2021,11,online,STAT0002,0.2347957984080793,4.923704807926062
z_cum_IDF,0.1,8.013755748488633,1.970172659991421,6.271524307788212e-5,STAT0002_2223,6,in_person,STAT0002,4.152217334905448,11.875294162071818
z_cum_IDF,0.25,6.715294821629568,1.1326009324539301,9.463340777671192e-9,STAT0002_2223,6,in_person,STAT0002,4.495396994019865,8.935192649239271
z_cum_IDF,0.5,4.491748472850137,0.8272766668137734,1.2772211155365198e-7,STAT0002_2223,6,in_person,STAT0002,2.870286205895141,6.113210739805133
z_cum_IDF,0.75,3.1299351973307608,0.6890226628762889,8.447769959785134e-6,STAT0002_2223,6,in_person,STAT0002,1.7794507780932345,4.4804196165682875
z_cum_IDF,0.9,2.540305893252989,0.7815472788328586,0.0013016518019637324,STAT0002_2223,6,in_person,STAT0002,1.0084732267405863,4.072138559765392
z_cum_IDF,0.1,7.879050227916976,1.3908399306402166,3.825603411833356e-8,STAT0002_2223,11,in_person,STAT0002,5.153003963862152,10.6050964919718
z_cum_IDF,0.25,7.396864984735664,1.0259127599282714,5.849098982935175e-12,STAT0002_2223,11,in_person,STAT0002,5.386075975276252,9.407653994195076
z_cum_IDF,0.5,5.0428490753311275,0.8018775056514632,1.3133245602148236e-9,STAT0002_2223,11,in_person,STAT0002,3.4711691642542597,6.614528986407995
z_cum_IDF,0.75,3.582914867815118,0.8345665803433752,2.4732706912722335e-5,STAT0002_2223,11,in_person,STAT0002,1.9471643703421029,5.218665365288134
z_cum_IDF,0.9,2.9599683843692297,0.8746357762740458,8.217891175523739e-4,STAT0002_2223,11,in_person,STAT0002,1.2456822628721,4.67425450586636
z_cum_IDF,0.1,5.515166555577085,1.3831453703957244,8.337205236963463e-5,STAT0004_2021,6,online,STAT0004,2.8042016296014647,8.226131481552704
z_cum_IDF,0.25,3.8033232471077167,0.5311839988094336,5.8824056736739294e-12,STAT0004_2021,6,online,STAT0004,2.7622026094412266,4.844443884774207
z_cum_IDF,0.5,2.241263561942716,0.8619129709022507,0.009759370238647591,STAT0004_2021,6,online,STAT0004,0.5519141389743045,3.9306129849111273
z_cum_IDF,0.75,2.353255977995281,0.7544833195513946,0.001984925890249567,STAT0004_2021,6,online,STAT0004,0.8744686716745478,3.8320432843160144
z_cum_IDF,0.9,2.3307703839997123,0.638775869297018,3.0902297616264285e-4,STAT0004_2021,6,online,STAT0004,1.078769680177557,3.5827710878218673
z_cum_IDF,0.1,6.060568025547543,1.3619474543808443,1.19932657369759e-5,STAT0004_2021,11,online,STAT0004,3.3911510149610877,8.729985036133998
z_cum_IDF,0.25,3.790266155589396,0.629756206965802,4.961686173032831e-9,STAT0004_2021,11,online,STAT0004,2.555943989936424,5.024588321242367
z_cum_IDF,0.5,3.1486729582834387,0.8861912692086064,4.4005566700455745e-4,STAT0004_2021,11,online,STAT0004,1.4117380706345704,4.885607845932308
z_cum_IDF,0.75,2.746744013905088,0.8380714494671145,0.001166385959350924,STAT0004_2021,11,online,STAT0004,1.1041239729495433,4.389364054860632
z_cum_IDF,0.9,2.1685772098878244,0.721385831432152,0.002862242815713234,STAT0004_2021,11,online,STAT0004,0.7546609802808066,3.5824934394948422
z_cum_IDF,0.1,2.5874810556802794,1.8298145384993798,0.15917086200929598,STAT0004_2122,6,hybrid,STAT0004,-0.9989554397785048,6.173917551139064
z_cum_IDF,0.25,2.7451416049387527,1.1159436752195973,0.014896844151854438,STAT0004_2122,6,hybrid,STAT0004,0.5578920015083422,4.932391208369163
z_cum_IDF,0.5,2.684546212858994,0.6994524302636188,1.746413927530277e-4,STAT0004_2122,6,hybrid,STAT0004,1.3136194495423013,4.055472976175687
z_cum_IDF,0.75,1.5424652639599654,0.5882605374112808,0.009532818713640978,STAT0004_2122,6,hybrid,STAT0004,0.38947461063385513,2.6954559172860755
z_cum_IDF,0.9,0.6300215546160035,1.0799943624176567,0.560426556330289,STAT0004_2122,6,hybrid,STAT0004,-1.4867673957226035,2.7468105049546105
z_cum_IDF,0.1,3.2571444800995466,1.9826202107033128,0.1022626593540572,STAT0004_2122,11,hybrid,STAT0004,-0.6287911328789466,7.14308009307804
z_cum_IDF,0.25,2.5637680458241885,1.0071823812896996,0.01180151161645826,STAT0004_2122,11,hybrid,STAT0004,0.5896905784963773,4.537845513152
z_cum_IDF,0.5,2.6639691910784524,0.668310386816272,9.952884943698059e-5,STAT0004_2122,11,hybrid,STAT0004,1.3540808329185594,3.9738575492383452
z_cum_IDF,0.75,1.6055019849182528,0.5985963480754417,0.008037689466743103,STAT0004_2122,11,hybrid,STAT0004,0.43225314269038706,2.7787508271461183
z_cum_IDF,0.9,1.3365471346785578,0.9729388454874833,0.1713368616454689,STAT0004_2122,11,hybrid,STAT0004,-0.5704130024769094,3.2435072718340248
z_cum_IDF,0.1,4.261256286976469,1.369042636481644,0.00213340449111854,STAT0004_2223,6,in_person,STAT0004,1.5779327194724466,6.944579854480491
z_cum_IDF,0.25,2.884874055967002,1.2649931548720896,0.02365675037631121,STAT0004_2223,6,in_person,STAT0004,0.40548747241770666,5.3642606395162975
z_cum_IDF,0.5,0.6539893181512004,0.8952075176922778,0.46593396299396295,STAT0004_2223,6,in_person,STAT0004,-1.100617416525664,2.4085960528280648
z_cum_IDF,0.75,1.0078871618054919,0.72795151853006,0.16777155997892446,STAT0004_2223,6,in_person,STAT0004,-0.41889781451342567,2.4346721381244096
z_cum_IDF,0.9,1.2338604045459474,1.4380756712321752,0.3919490721663468,STAT0004_2223,6,in_person,STAT0004,-1.584767911069116,4.05248872016101
z_cum_IDF,0.1,3.9746178796670786,1.4137708657710497,0.005437124645676139,STAT0004_2223,11,in_person,STAT0004,1.203626982755821,6.745608776578337
z_cum_IDF,0.25,3.8914582936146775,0.984352950130401,1.0775467279922069e-4,STAT0004_2223,11,in_person,STAT0004,1.9621265113590916,5.8207900758702635
z_cum_IDF,0.5,1.0956438029643927,1.0262802550070518,0.2870265918008712,STAT0004_2223,11,in_person,STAT0004,-0.9158654968494289,3.107153102778214
z_cum_IDF,0.75,0.9624875087454718,0.7500055830233091,0.2009075133806042,STAT0004_2223,11,in_person,STAT0004,-0.5075234339802139,2.4324984514711576
z_cum_IDF,0.9,1.2797080105159941,1.1884102622710135,0.2828895442568822,STAT0004_2223,11,in_person,STAT0004,-1.0495761035351925,3.6089921245671808
