cohort_id,week,pc1_var,r_pc1_grade
STAT0002_2021,6,0.84611,-0.28284987469763206
STAT0002_2021,11,0.86596,-0.28342705964755105
STAT0002_2223,6,0.85638,0.3625102862562108
STAT0002_2223,11,0.8879,0.4140726229783943
STAT0004_2021,6,0.85434,0.28766122093043406
STAT0004_2021,11,0.8578,0.29776409389399433
STAT0004_2122,6,0.85621,-0.20802998043759463
STAT0004_2122,11,0.87359,-0.2351589936108536
STAT0004_2223,6,0.83206,0.17015323643098126
STAT0004_2223,11,0.86657,0.19568819042428587
