indicator,pooled_r,ci_lo,ci_hi,Q,Q_p,I2,mod_condition_p
Frequency,0.28198375030783884,0.2215015311237906,0.3403047927732093,5.512425824104759,0.2386393967934509,26.537353449158033,0.9202580931916602
Immediacy,0.304693267649816,0.24002660152226823,0.3666677697548367,6.398904121419386,0.1712727428546359,36.947760200826174,0.8811510429756121
Diversity,0.30537474190928193,0.24294702000830518,0.3652833708188527,5.963370308489363,0.20190055213532682,32.59475951454971,0.8744815630418621
IDF,0.31871358089432006,0.2533688536322989,0.3811630349540644,6.617410116978666,0.1575412973035219,39.22150110501354,0.8931681416660577
