cohort_id,week,mean_abs_cor,vif_freq,vif_imm,vif_div
STAT0002_2021,6,0.769089960326515,3.0834449238516113,2.777751806080825,3.3177786134830307
STAT0002_2021,11,0.7988881753344124,3.48437882061685,3.1995712365636884,3.756749332244346
STAT0002_2223,6,0.784368318651751,3.448038543488712,2.7969495050941564,3.814686649990498
STAT0002_2223,11,0.831826368505117,4.152417003393753,3.814942507676377,4.400293264424812
STAT0004_2021,6,0.7813218440297766,3.2249892839971266,2.858461415902847,3.8260286361414773
STAT0004_2021,11,0.786629958824245,3.201994034062019,3.066591124854361,3.6264205904544617
STAT0004_2122,6,0.7842276937458007,3.574725128732613,2.9234349797092958,3.326148721734097
STAT0004_2122,11,0.8103708828719232,3.792519200365107,3.6259146571902674,3.533321468411319
STAT0004_2223,6,0.7480284407386604,3.0050623025990877,2.599675503313473,2.8114487265570802
STAT0004_2223,11,0.7998267436069024,3.4968048722109444,3.688973643053432,3.2570178689426013
