cohort_id,week,rho,diff_med,diff_lo,diff_hi,rho_lo,rho_hi,condition,module,year_label
STAT0002_2021,1,0.18123207487500556,0.09373990974259377,0.011643942717717142,0.18646703970876352,0.07488640629195366,0.2778641555708232,online,STAT0002,2020-21
STAT0002_2021,2,0.2169897419987027,0.05974049318959124,-0.013223110697112734,0.1319366010092607,0.11619639549166429,0.31337475069537235,online,STAT0002,2020-21
STAT0002_2021,3,0.2631141393063662,0.013510873263832393,-0.04631329383817902,0.07115719776400053,0.16163134377060823,0.3579834673776696,online,STAT0002,2020-21
STAT0002_2021,4,0.2990872513085028,-0.022931595030172128,-0.07215537251521864,0.0258039213035563,0.20046683752996447,0.38836716891381245,online,STAT0002,2020-21
STAT0002_2021,5,0.27410990259215395,0.0020434783258588413,-0.03648836237053704,0.0386538937289173,0.17468615241141275,0.3656964796214499,online,STAT0002,2020-21
STAT0002_2021,6,0.2751261260941553,7.365028949601893e-5,-0.03500355749642195,0.035214188024225726,0.1767885368016793,0.3711105362547362,online,STAT0002,2020-21
STAT0002_2021,7,0.2704262986420213,0.005630215887736129,-0.024407893079044646,0.03483365538220146,0.17355243777948853,0.3670919150026509,online,STAT0002,2020-21
STAT0002_2021,8,0.2636617750267805,0.012600168496450903,-0.009509742478449584,0.03328311313867652,0.16378745049648133,0.36188487280236153,online,STAT0002,2020-21
STAT0002_2021,9,0.2623131601918736,0.013460957087227304,-0.004005473649076216,0.03330785724241274,0.16350772625786295,0.36131097999040573,online,STAT0002,2020-21
STAT0002_2021,10,0.2694354244790367,0.006448818560641806,-0.006349381776169572,0.019109171457680357,0.16787085782205902,0.36815230039728397,online,STAT0002,2020-21
STAT0002_2021,11,0.27584400737542153,0,0,0,0.17605206962429337,0.37272470800214114,online,STAT0002,2020-21
STAT0002_2223,1,0.2440286796471754,0.16433381603833214,0.07346934405121834,0.255148124912741,0.12979743244581643,0.36299771859984,in_person,STAT0002,2022-23
STAT0002_2223,2,0.3175327296418066,0.0898178580963214,0.017201623232194596,0.1676870627576172,0.207523776433894,0.42418580916191895,in_person,STAT0002,2022-23
STAT0002_2223,3,0.32832989026470194,0.08008327461207412,0.020131763861371183,0.14546796656215805,0.22039640614276296,0.43662090163505113,in_person,STAT0002,2022-23
STAT0002_2223,4,0.3115125213743754,0.0968619330310698,0.045211548133997505,0.15394250000540333,0.2013871424692053,0.4182568408769289,in_person,STAT0002,2022-23
STAT0002_2223,5,0.342013901202454,0.06677693386339845,0.024355366415700574,0.10924789580970425,0.23302409331377266,0.4475725129129742,in_person,STAT0002,2022-23
STAT0002_2223,6,0.34863745425069287,0.06037281670344713,0.02316500124749324,0.09662214951421227,0.23946044728079982,0.45873895754616334,in_person,STAT0002,2022-23
STAT0002_2223,7,0.3595345418827397,0.04949468172531135,0.02057358419234084,0.07845724501481456,0.25092864107955787,0.4681007484487666,in_person,STAT0002,2022-23
STAT0002_2223,8,0.38396716846102324,0.025212404674356176,0.0031254331969479856,0.047072035617263974,0.27597474783222165,0.49135773265658045,in_person,STAT0002,2022-23
STAT0002_2223,9,0.4016722170288598,0.007394479543973903,-0.009598196868236411,0.023044074969037414,0.2959716081791453,0.5076516327291212,in_person,STAT0002,2022-23
STAT0002_2223,10,0.40001096990511054,0.009361846211537267,-0.0010742153199189597,0.01937860557635507,0.291565119218161,0.5058286508038595,in_person,STAT0002,2022-23
STAT0002_2223,11,0.40924428859614254,0,0,0,0.30005342745518665,0.5125297863762625,in_person,STAT0002,2022-23
STAT0004_2021,1,0.21720660364478814,0.07964454410546817,-0.012372196820857922,0.17583766228104403,0.11200910839750838,0.3240418062430437,online,STAT0004,2020-21
STAT0004_2021,2,0.23395585130001897,0.06382293003074355,-0.021351431312017416,0.14633820204721862,0.12876536169738437,0.3391037450825724,online,STAT0004,2020-21
STAT0004_2021,3,0.2521375850735224,0.046395147186254204,-0.0321604174838184,0.12100835481863488,0.1412090063286648,0.35632675827011057,online,STAT0004,2020-21
