term,tau,estimate,std.error,p.value,cohort_id,week,predictor,condition,module,indicator,lo,hi
z_cum_freq,0.1,4.491184186912542,1.3568900364017205,0.0010333143709448933,STAT0002_2021,6,z_cum_freq,online,STAT0002,Frequency,1.83167971556517,7.150688658259914
z_cum_freq,0.25,3.6560303530477896,1.1823281501976692,0.0021509160526789195,STAT0002_2021,6,z_cum_freq,online,STAT0002,Frequency,1.3386671786603581,5.973393527435221
z_cum_freq,0.5,3.202612149753061,0.7149360224159401,1.0228502989484412e-05,STAT0002_2021,6,z_cum_freq,online,STAT0002,Frequency,1.8013375458178182,4.603886753688304
z_cum_freq,0.75,3.6415536867146416,0.8343409208052137,1.6919438307283485e-5,STAT0002_2021,6,z_cum_freq,online,STAT0002,Frequency,2.006245481936423,5.27686189149286
z_cum_freq,0.9,2.3911544256736104,0.9344027244424973,0.010929181877754601,STAT0002_2021,6,z_cum_freq,online,STAT0002,Frequency,0.5597250857663156,4.2225837655809055
z_cum_imm,0.1,3.90764962121584,1.8973455342231897,0.04020397297774325,STAT0002_2021,6,z_cum_imm,online,STAT0002,Immediacy,0.18885237413838807,7.626446868293291
z_cum_imm,0.25,3.2860397341174536,1.5788263472072899,0.03815268546295281,STAT0002_2021,6,z_cum_imm,online,STAT0002,Immediacy,0.19154009359116575,6.3805393746437415
z_cum_imm,0.5,2.932504693649508,1.0102083480806439,0.003938999645280106,STAT0002_2021,6,z_cum_imm,online,STAT0002,Immediacy,0.9524963314114459,4.91251305588757
z_cum_imm,0.75,3.415472398846997,0.7521317872501067,7.781740315904173e-6,STAT0002_2021,6,z_cum_imm,online,STAT0002,Immediacy,1.9412940958367881,4.889650701857206
z_cum_imm,0.9,1.424671650383004,1.0600407677731658,0.17985157318078926,STAT0002_2021,6,z_cum_imm,online,STAT0002,Immediacy,-0.6530082544524012,3.502351555218409
z_cum_div,0.1,3.641537786432578,1.278705412769064,0.00466954139307818,STAT0002_2021,6,z_cum_div,online,STAT0002,Diversity,1.1352751774052128,6.147800395459944
z_cum_div,0.25,4.0065850063388755,1.0805136961666615,2.4382603008832326e-4,STAT0002_2021,6,z_cum_div,online,STAT0002,Diversity,1.888778161852219,6.124391850825532
z_cum_div,0.5,3.1591112827672894,1.069609454900514,0.003360497272863139,STAT0002_2021,6,z_cum_div,online,STAT0002,Diversity,1.0626767511622819,5.255545814372297
z_cum_div,0.75,4.235815660493672,1.1025776722390017,1.4574104904996332e-4,STAT0002_2021,6,z_cum_div,online,STAT0002,Diversity,2.0747634229052285,6.396867898082116
z_cum_div,0.9,2.4243601608818826,1.100945290823316,0.02833123493556533,STAT0002_2021,6,z_cum_div,online,STAT0002,Diversity,0.2665073908681834,4.582212930895581
z_cum_freq,0.1,5.061810166846717,1.2620577363488115,7.445056310584341e-5,STAT0002_2021,11,z_cum_freq,online,STAT0002,Frequency,2.5881770036030467,7.535443330090388
z_cum_freq,0.25,3.684179542693079,0.8484344231661068,1.8627999645470794e-5,STAT0002_2021,11,z_cum_freq,online,STAT0002,Frequency,2.0212480732875093,5.347111012098648
z_cum_freq,0.5,3.152051327677031,0.8916572869793228,4.6416042440577954e-4,STAT0002_2021,11,z_cum_freq,online,STAT0002,Frequency,1.4044030451975584,4.899699610156503
