cohort_id,n_all,n_excl_EC,rho_all,rho_excl_EC
STAT0002_2021,342,342,0.27584400737542153,0.27584400737542153
STAT0004_2021,312,312,0.29775243779667243,0.29775243779667243
STAT0004_2122,172,172,0.2319751139460792,0.2319751139460792
