cohort_id,condition,r2_base,r2_full,delta_r2,F,p_incremental,auc_base,auc_full,auc_delta
STAT0002_2021,online,0.09149937679381256,0.143287862655955,0.051788485862142436,3.344915317673085,0.003257862211697536,0.7057868601986249,0.7258403361344538,0.020053475935828846
STAT0002_2223,in_person,0.15572410191486152,0.2129161740583341,0.05719207214347258,3.1124093894504337,0.005829850624372297,0.7724148236700538,0.7897489539748954,0.017334130304841655
STAT0004_2021,online,0.0885786813333239,0.09389943206666057,0.005320750733336668,0.29556445467796605,0.9387894412364852,0.7097774020850944,0.7339156569925801,0.024138254907485668
STAT0004_2122,hybrid,0.06897916770710535,0.10240701019043986,0.03342784248333451,1.0055245053122857,0.42362394876797255,0.8303747534516766,1,0.16962524654832345
STAT0004_2223,in_person,0.04034054106776725,0.09382158313628544,0.05348104206851819,1.8394013586246833,0.09355521933099688,0.8045112781954887,0.9082706766917293,0.1037593984962406
